ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
244,0.0213,0.2128,0.0426,0.0426,0.1702,0.1389,0.8611,0.0426,0.0851,0.383,47,36
245,0.0,0.1429,0.0571,0.0571,0.2571,0.1333,0.8667,0.0571,0.0857,0.3429,35,30
246,0.05,0.2167,0.0667,0.1,0.2167,0.2857,0.7143,0.1167,0.0333,0.2,60,35
247,0.025,0.225,0.075,0.05,0.25,0.1429,0.8571,0.1,0.025,0.25,40,28
248,0.0208,0.1875,0.0833,0.1042,0.25,0.1852,0.8148,0.0625,0.0625,0.2292,48,27
249,0.0465,0.2093,0.0465,0.0698,0.186,0.1724,0.8276,0.0465,0.1395,0.2558,43,29
250,0.0328,0.1967,0.0492,0.0492,0.2295,0.1143,0.8857,0.0492,0.0656,0.3279,61,35
251,0.1282,0.1795,0.0641,0.0641,0.1538,0.413,0.587,0.1026,0.0897,0.2179,78,46
252,0.1111,0.0833,0.1111,0.0833,0.1389,0.3043,0.6957,0.1389,0.1111,0.2222,36,23
253,0.0312,0.1719,0.0625,0.0781,0.1719,0.3056,0.6944,0.1094,0.125,0.25,64,36
254,0.082,0.1639,0.0492,0.0656,0.1967,0.303,0.697,0.0656,0.1475,0.2295,61,33
